STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,2,RAIN,20240113 0400,20240113 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0500,20240113 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0600,20240113 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0700,20240113 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0800,20240113 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0900,20240113 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1000,20240113 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1100,20240113 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1200,20240113 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1300,20240113 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1400,20240113 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1500,20240113 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1600,20240113 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1700,20240113 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1800,20240113 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240113 1900,20240113 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240113 2000,20240113 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240113 2100,20240113 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240113 2200,20240113 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240113 2300,20240113 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0000,20240114 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0100,20240114 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0200,20240114 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0300,20240114 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0400,20240114 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0500,20240114 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0600,20240114 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0700,20240114 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0800,20240114 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240114 0900,20240114 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1000,20240114 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1100,20240114 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1200,20240114 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1300,20240114 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1400,20240114 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1500,20240114 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1600,20240114 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1700,20240114 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1800,20240114 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240114 1900,20240114 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240114 2000,20240114 2000,3.00, ,INCHES
